,Right,Wrong
0,sofa,deforestation
1,grace,develop
2,family,guarantee
3,school,carbohydrates
4,landfill,gender
5,tutor,ramification
6,wheels,Persian
7,income,illiteracy
8,money,fabulous
9,statistic,
10,humid,
11,village,
12,curved,
13,department,
14,student,
15,vocabulary,
16,tornado,
17,profit,
18,architect,
19,expectancy,
20,digital,
21,class,
22,technical,
23,wool,
24,merchandise,
25,meal,
26,refund,
27,creativity,
28,management,
29,Italy,
30,cottage,
31,tram,
32,advisor,
33,fuels,
34,accommodation,
35,penguin,
36,register,
37,potatoes,
38,pollution,
39,questionnaire,
40,profession,
41,train,
